NAME;TYPE;URL;
mimic iv note labels;extracted NLP labels from the mimic iv-note datasetl;https://physionet.org/content/medication-labels-mimic-note/1.0.0/
RadGraph: Extracting Clinical Entities and Relations from Radiology Reports;dataset of entities and relations in full-text radiology reports;https://physionet.org/content/radgraph/1.0.0/
Symile-MIMIC: a multimodal clinical dataset of chest X-rays, electrocardiograms, and blood labs from MIMIC-IV;multimodal clinical dataset derived from MIMIC-IV and MIMIC-CXR, consisting of chest X-rays (CXRs), electrocardiograms (ECGs), and blood laboratory tests;https://physionet.org/content/symile-mimic/1.0.0/
MIMIC-IV demo data in the OMOP Common Data Mode; the MIMIC-IV demo database was used to create an Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM) instance;https://physionet.org/content/mimic-iv-demo-omop/0.9/
MIMIC-IV Clinical Database Demo;database of deidentified electronic health records for patients admitted to the Beth Israel Deaconess Medical Center;https://physionet.org/content/mimic-iv-demo/2.2/
AIPatient KG: MIMIC-III and CORAL Electronic Health Records based Patient Knowledge Graph;integrated knowledge graph constructed from MIMIC-III and CORAL electronic health records;https://physionet.org/content/aipatient-kg/1.0.0/
Code for generating the HAIM multimodal dataset of MIMIC-IV clinical data and x-rays;multimodal combination of the MIMIC-IV v1.0.0 and MIMIC Chest X-ray (MIMIC-CXR-JPG) v2.0.0 databases filtered to only include patients that have at least one chest X-ray performed with the goal of validating multi-modal predictive analytics in healthcare operations;https://physionet.org/content/haim-multimodal/1.0.1/
PadChest: A large chest x-ray image dataset with multi-label annotated reports;beled large-scale, high resolution chest x-ray dataset for the automated exploration of medical images along with their associated reports;https://bimcv.cipf.es/bimcv-projects/padchest/
CheXpert Plus: Augmenting a Large Chest X-ray Dataset with Text Radiology Reports, Patient Demographics and Additional Image Formats; CheXpert Plus is the largest text dataset publicly released in radiology;https://stanfordaimi.azurewebsites.net/datasets/5158c524-d3ab-4e02-96e9-6ee9efc110a1
Stanford BRAINnet;Stanford Center for Precision Mental Health standardized and annotated data to foster reproducible collaborative research.;https://www.stanfordpmhw.com/datasets